zmienna;wyrob;okres;wartosc
zamowienie;3;9;216
zapas_poczatek;3;9;216
popyt;3;9;102
zapas_koniec;3;9;114
czy_zamawiac;3;9;1
zamowienie;3;10;0
zapas_poczatek;3;10;114
popyt;3;10;114
zapas_koniec;3;10;0
czy_zamawiac;3;10;0
zamowienie;3;11;259
zapas_poczatek;3;11;259
popyt;3;11;186
zapas_koniec;3;11;73
czy_zamawiac;3;11;1
zamowienie;3;12;0
zapas_poczatek;3;12;73
popyt;3;12;73
zapas_koniec;3;12;0
czy_zamawiac;3;12;0
zamowienie;3;13;242
zapas_poczatek;3;13;242
popyt;3;13;151
zapas_koniec;3;13;91
czy_zamawiac;3;13;1
zamowienie;3;14;0
zapas_poczatek;3;14;91
popyt;3;14;91
zapas_koniec;3;14;0
czy_zamawiac;3;14;0
zamowienie;3;15;225
zapas_poczatek;3;15;225
popyt;3;15;120
zapas_koniec;3;15;105
czy_zamawiac;3;15;1
zamowienie;3;16;0
zapas_poczatek;3;16;105
popyt;3;16;105
zapas_koniec;3;16;0
czy_zamawiac;3;16;0
zamowienie;3;17;162
zapas_poczatek;3;17;162
popyt;3;17;162
zapas_koniec;3;17;0
czy_zamawiac;3;17;1
zamowienie;4;1;151
zapas_poczatek;4;1;151
popyt;4;1;103
zapas_koniec;4;1;48
czy_zamawiac;4;1;1
zamowienie;4;2;0
zapas_poczatek;4;2;48
popyt;4;2;48
zapas_koniec;4;2;0
czy_zamawiac;4;2;0
zamowienie;4;3;194
zapas_poczatek;4;3;194
popyt;4;3;114
zapas_koniec;4;3;80
czy_zamawiac;4;3;1
zamowienie;4;4;0
zapas_poczatek;4;4;80
popyt;4;4;80
zapas_koniec;4;4;0
czy_zamawiac;4;4;0
zamowienie;4;5;162
zapas_poczatek;4;5;162
popyt;4;5;30
zapas_koniec;4;5;132
czy_zamawiac;4;5;1
zamowienie;4;6;0
zapas_poczatek;4;6;132
popyt;4;6;132
zapas_koniec;4;6;0
czy_zamawiac;4;6;0
zamowienie;4;7;241
zapas_poczatek;4;7;241
popyt;4;7;125
zapas_koniec;4;7;116
czy_zamawiac;4;7;1
zamowienie;4;8;0
zapas_poczatek;4;8;116
popyt;4;8;116
zapas_koniec;4;8;0
czy_zamawiac;4;8;0
zamowienie;4;9;201
zapas_poczatek;4;9;201
popyt;4;9;52
zapas_koniec;4;9;149
czy_zamawiac;4;9;1
